coal_adj_close,ttf_adj_close,ttf_volume,oil_adj_close,oil_volume,fractional_hour,day_of_week,week_of_year,month,year,hydro_storage_in,cross_border,nuclear,hydro,biomass,lignite,hard_coal,oil,coal_gas,nat_gas,geothermal,hydro_reservoir,hydro_storage_out,others,waste,wind_offshore,wind_onshore,solar,load,residual_load,renewable_share_gen,renewable_share_load,day_ahead_price,holiday,actual_pmi,temp_north,windspeed_north,temp_south,windspeed_south,solarradiation_south,solarenergy_south,temp_brocken,windspeed_brocken,solarradiation_brocken,solarenergy_brocken
96.4,67.78,17704.0,61.73,616474.0,15.0,0.0,2.0,1.0,2018.0,-192.9,-10193.5,9336.9,2029.1,5146.7,20799.6,8174.9,307.8,550.1,11894.9,18.1,37.3,1359.2,1947.9,1217.2,3202.1,21221.7,340.4,78082.0,53317.8,37.2,41.7,39.69,0.0,63.3,6.1,23.9,6.9,18.8,70.0,0.3,-1.5,16.7,73.0,0.3
96.4,67.78,17704.0,61.73,616474.0,15.25,0.0,2.0,1.0,2018.0,-332.2,-10193.5,9360.7,2033.0,5169.4,20825.5,8225.1,307.1,526.2,11911.5,18.1,33.3,1252.7,1972.5,1217.2,3240.3,21928.9,97.4,78505.6,53239.0,37.5,42.1,39.69,0.0,63.3,6.1,23.9,6.9,18.8,70.0,0.3,-1.5,16.7,73.0,0.3
96.4,67.78,17704.0,61.73,616474.0,15.5,0.0,2.0,1.0,2018.0,-302.0,-10193.5,9375.2,2036.6,5166.6,20841.0,8143.8,306.8,526.2,11955.8,18.1,34.2,1469.3,1974.2,1232.8,3284.7,22878.0,17.6,79479.4,53299.2,38.1,42.8,39.69,0.0,63.3,6.1,23.9,6.9,18.8,70.0,0.3,-1.5,16.7,73.0,0.3
96.4,67.78,17704.0,61.73,616474.0,15.75,0.0,2.0,1.0,2018.0,-288.8,-10193.5,9390.6,2040.4,5161.0,20812.5,8051.6,306.0,526.2,11946.9,18.1,44.0,1714.5,1988.8,1225.0,3311.2,23604.9,0.1,80693.9,53777.7,38.5,43.0,39.69,0.0,63.3,6.1,23.9,6.9,18.8,70.0,0.3,-1.5,16.7,73.0,0.3
96.4,67.78,17704.0,61.73,616474.0,16.0,0.0,2.0,1.0,2018.0,-301.8,-10418.6,9364.5,2047.2,5166.7,20765.9,7882.9,304.4,526.2,11911.5,18.1,29.7,1170.5,1999.1,1219.8,3338.7,24358.9,0.0,82322.9,54625.3,39.4,43.1,40.26,0.0,63.3,5.9,19.5,6.7,19.4,13.0,0.0,-2.4,17.0,64.0,0.2
96.4,67.78,17704.0,61.73,616474.0,16.25,0.0,2.0,1.0,2018.0,-158.3,-10418.6,9395.4,2048.2,5160.3,20818.6,7779.8,304.3,489.1,11951.7,18.1,37.4,1355.9,1998.5,1228.9,3361.1,24554.7,0.0,83239.5,55323.8,39.5,42.9,40.26,0.0,63.3,5.9,19.5,6.7,19.4,13.0,0.0,-2.4,17.0,64.0,0.2
96.4,67.78,17704.0,61.73,616474.0,16.5,0.0,2.0,1.0,2018.0,-78.3,-10418.6,9393.3,2051.3,5165.7,20818.5,7635.0,303.9,489.1,12058.2,18.2,34.6,1526.8,1998.3,1228.9,3390.3,25051.7,0.0,83542.6,55100.6,39.8,43.4,40.26,0.0,63.3,5.9,19.5,6.7,19.4,13.0,0.0,-2.4,17.0,64.0,0.2
96.4,67.78,17704.0,61.73,616474.0,16.75,0.0,2.0,1.0,2018.0,-79.5,-10418.6,9388.4,2053.6,5167.4,20791.9,7495.6,305.0,489.1,11970.9,18.2,31.9,1744.6,1997.9,1225.0,3252.5,25488.3,0.0,83877.6,55136.8,40.0,43.6,40.26,0.0,63.3,5.9,19.5,6.7,19.4,13.0,0.0,-2.4,17.0,64.0,0.2
96.4,67.78,17704.0,61.73,616474.0,17.0,0.0,2.0,1.0,2018.0,-44.7,-10951.1,9381.0,2053.2,5166.7,20835.5,7451.6,304.3,489.1,11700.0,18.2,75.5,1683.7,2020.7,1215.9,3215.6,25855.8,0.0,83339.5,54268.1,40.4,44.3,37.99,0.0,63.3,5.2,16.1,6.3,22.4,6.0,0.0,-2.8,16.7,49.0,0.2
96.4,67.78,17704.0,61.73,616474.0,17.25,0.0,2.0,1.0,2018.0,-83.7,-10951.1,9387.7,2050.1,5171.3,20841.7,7385.5,303.9,461.0,11659.5,18.3,33.5,1146.8,2017.3,1213.3,3225.0,26240.1,0.0,82941.2,53476.1,40.9,45.0,37.99,0.0,63.3,5.2,16.1,6.3,22.4,6.0,0.0,-2.8,16.7,49.0,0.2
96.4,67.78,17704.0,61.73,616474.0,17.5,0.0,2.0,1.0,2018.0,-81.1,-10951.1,9386.1,2051.3,5173.0,20864.3,7246.9,304.6,461.0,11696.2,18.4,34.0,1119.3,2016.9,1204.2,3235.3,26416.5,0.0,83135.8,53484.0,41.1,45.1,37.99,0.0,63.3,5.2,16.1,6.3,22.4,6.0,0.0,-2.8,16.7,49.0,0.2
