name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
brocken germany,1/28/2018,6.3,2.3,4.1,2.4,-3.3,-0.1,2.8,90.9,2.423,100,62.5,rain,0,14.1,,27.60,229.20,1027,98.4,7.3,12.9,1.1,1,,2018-01-28T08:02:05,2018-01-28T16:58:39,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,1/29/2018,7,3.8,6.3,3.4,-0.7,2.4,4.3,87.4,9.088,100,41.67,rain,0,12.5,,30.70,240.80,1022.3,88.9,14.9,11.9,1,1,,2018-01-29T08:00:40,2018-01-29T17:00:27,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,1/30/2018,2.9,0.1,1.4,0.6,-3.6,-2,-1.4,81.5,0.724,100,16.67,"rain,snow",0,12.2,,22.20,261.30,1026.6,61.4,31.3,20.4,1.6,1,,2018-01-30T07:59:12,2018-01-30T17:02:15,0.46,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,1/31/2018,6.1,0.2,3.5,1.8,-2.1,-0.1,2.3,91.4,13.91,100,75,rain,0,12.2,,27.30,215.10,1008.5,96.6,12.4,16.4,1.3,1,,2018-01-31T07:57:42,2018-01-31T17:04:04,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/1/2018,2.3,-0.9,0.4,-1.7,-6,-4.1,-2.2,82.9,1.483,100,25,"rain,snow",0.2,12.3,,21.90,220.30,1000.5,40.4,29.1,56.2,4.9,3,,2018-02-01T07:56:10,2018-02-01T17:05:53,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/2/2018,0.6,-0.9,-0.1,-2.6,-6.4,-4.6,-1.7,89.1,4.012,100,62.5,"rain,snow",2.8,13.4,,20.40,214.40,1002.8,47.9,10.9,20,1.8,1,,2018-02-02T07:54:37,2018-02-02T17:07:43,0.56,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"D7915,02174,04878,05490,00656,04445,02039"
brocken germany,2/3/2018,0.5,-1.8,-0.9,-2.6,-5.2,-4,-2.8,87.1,2.89,100,87.5,"rain,snow",3.6,17.2,,12.20,266.70,1005.9,67.5,12.9,31.4,2.5,2,,2018-02-03T07:53:01,2018-02-03T17:09:33,0.59,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"D7915,02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/4/2018,-2.2,-7.3,-4.2,-2.2,-9.3,-7,-6,87.9,1.329,100,45.83,snow,1.2,19.6,,13.60,27.00,1018.3,47.9,13,23.7,1.9,1,,2018-02-04T07:51:23,2018-02-04T17:11:23,0.63,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/5/2018,-2.9,-7,-4,-4.4,-8.7,-7.5,-5.2,91,0.62,100,37.5,snow,0,19,,17.30,63.40,1028.2,30.1,6.5,20.1,1.6,1,,2018-02-05T07:49:44,2018-02-05T17:13:14,0.66,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/6/2018,-3.4,-11.3,-6.6,-4.9,-15.2,-10,-9.2,82,0,0,0,,0,18.6,,11.70,66.20,1019.3,33.7,13.5,46,4.1,2,,2018-02-06T07:48:02,2018-02-06T17:15:04,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/7/2018,-1.6,-6.4,-4.2,-2,-8.2,-5.5,-6.6,83.9,0.033,100,4.17,snow,0,18.4,,6.80,52.40,1016.6,29.9,8,36.3,3.2,2,,2018-02-07T07:46:19,2018-02-07T17:16:55,0.75,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"D7915,02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/8/2018,-3.1,-7.7,-5,-3.1,-7.7,-5.4,-7.4,83.3,0,0,0,,0,18,,7.40,220.50,1021,48.8,5.5,41,3.5,2,,2018-02-08T07:44:34,2018-02-08T17:18:46,0.76,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/9/2018,-2.6,-9.3,-5.6,-5.9,-12.7,-9.3,-7.2,88.5,0.097,100,12.5,snow,0,17.7,,16.10,221.80,1017.7,17.9,3,47.2,4,2,,2018-02-09T07:42:48,2018-02-09T17:20:37,0.79,Snow,Clear conditions throughout the day with late afternoon snow.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/10/2018,-0.6,-3.2,-1.7,-3.9,-7.2,-5.4,-3.2,89.3,0.142,100,25,"rain,snow",0,17.5,,14.50,209.90,1015.8,48.8,3.7,20.8,1.7,1,,2018-02-10T07:41:00,2018-02-10T17:22:28,0.82,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/11/2018,0.3,-1.8,-0.8,-3.5,-7.6,-5.6,-2.5,88.7,2.374,100,50,"rain,snow",2.1,18.1,,23.30,212.50,1005,81.7,9,30.4,2.6,2,,2018-02-11T07:39:10,2018-02-11T17:24:18,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"D7915,02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/12/2018,-0.4,-2.4,-1.2,-4,-6.7,-5.2,-3.5,84.2,1.099,100,50,"rain,snow",1.7,20.6,,19.40,246.40,1010.8,59.2,15.1,35.6,3.1,2,,2018-02-12T07:37:19,2018-02-12T17:26:09,0.89,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/13/2018,0.3,-6.6,-2.8,-3.1,-7.6,-5.5,-5.8,80.6,0,0,0,,0.3,21,,17.40,212.80,1016.6,4.9,17,57.4,4.8,2,,2018-02-13T07:35:27,2018-02-13T17:28:00,0.92,Clear,Clear conditions throughout the day.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/14/2018,0.7,-9.5,-4.8,-3.3,-12.7,-6.6,-8.9,75.1,0,0,0,,0,20,,16.80,137.40,1020.5,1.4,16,58.9,5.2,3,,2018-02-14T07:33:33,2018-02-14T17:29:50,0.95,Clear,Clear conditions throughout the day.,clear-day,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/15/2018,-0.1,-5.4,-2.8,-3.8,-8.6,-6.1,-5.3,83.3,1.962,100,45.83,"rain,snow",0.9,19.8,,14.90,197.50,1017.8,85.9,9,18.4,1.4,1,,2018-02-15T07:31:38,2018-02-15T17:31:41,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/16/2018,1.8,-3.1,-0.7,-0.6,-5.9,-3.5,-2.4,88.6,0.092,100,8.33,"rain,snow",0.5,20.7,,15.30,239.20,1024.2,15.3,10.1,57.9,5,3,,2018-02-16T07:29:41,2018-02-16T17:33:31,0.02,"Snow, Rain",Clear conditions throughout the day with early morning snow or rain.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/17/2018,1,-6.2,-2.4,-1.4,-8,-4.1,-4.4,86.4,0,0,0,,0,20.3,,10.70,50.50,1026.1,76.4,12.2,42.6,3.7,2,,2018-02-17T07:27:43,2018-02-17T17:35:21,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D7915,02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/18/2018,0.9,-5,-1.9,-0.8,-6.8,-3.8,-5.2,78.8,0,0,0,,0,20,,15.60,189.20,1028.5,44.6,27.4,65.5,5.7,3,,2018-02-18T07:25:44,2018-02-18T17:37:11,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/19/2018,1,-5.6,-2.8,1,-8.5,-3.4,-5.5,82.3,0,0,0,,0,19.9,,7.30,256.20,1022.3,77.3,13.1,41.5,3.5,2,,2018-02-19T07:23:44,2018-02-19T17:39:00,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/20/2018,-0.6,-5.9,-3.4,-4.9,-9.3,-7.1,-5.9,83.2,0,0,0,,0,19.7,,16.60,51.40,1020,63,5.9,56.6,4.9,3,,2018-02-20T07:21:43,2018-02-20T17:40:50,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/21/2018,-1.1,-7.3,-3.8,-5.2,-12,-8.2,-7.1,78.6,0,0,0,,0,19.6,,16.40,54.60,1025.5,28.6,8.5,125.4,11,5,,2018-02-21T07:19:41,2018-02-21T17:42:39,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"21,740,487,805,490,000,000,000,000,000"
brocken germany,2/22/2018,-1.8,-5.8,-3.7,-6.4,-10,-8.5,-6.7,80.2,0,0,0,,0,19.6,,19.80,54.20,1025.7,33.4,10.5,103.4,9,4,,2018-02-22T07:17:37,2018-02-22T17:44:28,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/23/2018,-2.9,-7.8,-5.6,-7.7,-13.6,-11.2,-10.5,69.7,0,0,0,,0,19.6,,22.60,67.60,1025.6,7.1,11.7,73.2,6.3,3,,2018-02-23T07:15:33,2018-02-23T17:46:16,0.25,Clear,Clear conditions throughout the day.,clear-day,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/24/2018,-2.8,-8.8,-6.4,-9.1,-14.8,-12.7,-11.9,66.2,0,0,0,,0,19.6,,25.30,61.70,1029.4,10.8,20.5,66.1,5.8,3,,2018-02-24T07:13:27,2018-02-24T17:48:05,0.3,Clear,Clear conditions throughout the day.,clear-day,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/25/2018,-6.2,-12.1,-8.8,-11.9,-18.5,-14.8,-13.3,71.6,0.048,100,8.33,snow,1.2,19.9,,22.50,56.80,1032.1,29.7,18.7,64,5.5,3,,2018-02-25T07:11:21,2018-02-25T17:49:53,0.34,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/26/2018,-7.2,-10.4,-8.6,-12.2,-17.5,-15.1,-11,82.5,1.488,100,54.17,snow,2.8,22,,22.50,32.90,1028.9,56.5,7.9,59.4,5.2,3,,2018-02-26T07:09:14,2018-02-26T17:51:40,0.37,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/27/2018,-7.1,-15.8,-11.2,-10.4,-22.1,-16.4,-15.9,70,0,0,0,,1.3,24.5,,15.00,53.50,1023.8,13.8,23.2,49.5,4.3,2,,2018-02-27T07:07:06,2018-02-27T17:53:28,0.41,Clear,Clear conditions throughout the day.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,2/28/2018,-11.5,-14.8,-12.9,-18.3,-24.3,-20.7,-16.3,75.8,0.137,100,16.67,snow,0,24.3,,22.20,65.90,1025.7,53,6.7,47.5,4.1,2,,2018-02-28T07:04:57,2018-02-28T17:55:15,0.44,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,3/1/2018,-7.3,-14.3,-11.2,-15.1,-23,-19.5,-16.1,68.3,0,0,0,,0,24.2,,27.70,65.60,1017.5,37.4,8.9,91.7,7.8,4,,2018-03-01T07:02:48,2018-03-01T17:57:02,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,3/2/2018,-6.2,-14.2,-10.6,-13.4,-22.1,-18,-15,70.7,0,0,0,,0,23.9,,24.30,61.90,1006.1,15.9,5.1,86.1,7.5,3,,2018-03-02T07:00:37,2018-03-02T17:58:49,0.5,Clear,Clear conditions throughout the day.,clear-day,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,3/3/2018,-4.2,-14.2,-9.1,-10.2,-20.1,-14.5,-14.4,66.4,0,0,0,,0,23.6,,19.40,67.10,1004.2,30.3,7.8,104.5,8.9,4,,2018-03-03T06:58:26,2018-03-03T18:00:35,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D7915,02174,D4240,04878,05490,00656,04445,02039"
brocken germany,3/4/2018,2,-7.2,-2.3,0.6,-10.3,-4,-4.9,82.4,0.077,100,8.33,snow,0,23.1,,15.60,224.30,1001.9,64.9,4.2,72.4,6.5,3,,2018-03-04T06:56:15,2018-03-04T18:02:21,0.58,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,rain,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,3/5/2018,6.6,-0.8,2.5,6.6,-4.3,0.2,0.1,84.6,0.573,100,37.5,"rain,snow",0,21.4,,14.80,194.30,997.7,60.4,11.7,89.4,7.7,4,,2018-03-05T06:54:02,2018-03-05T18:04:07,0.61,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,3/6/2018,6.5,-3,0.7,5.9,-5.5,-0.6,-2,83.1,0.256,100,4.17,rain,0,19.3,,11.50,45.60,993.4,64.1,9.7,61.9,5.4,3,,2018-03-06T06:51:49,2018-03-06T18:05:52,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,3/7/2018,5.9,-1,1.9,3.9,-3.8,0.2,-0.5,84.7,0.387,100,20.83,rain,0.2,19,,14.20,239.40,994.4,66.4,4.1,49.2,4.4,3,,2018-03-07T06:49:36,2018-03-07T18:07:38,0.67,"Rain, Partially cloudy",Clearing in the afternoon with rain or snow.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,3/8/2018,4.3,0.9,2.5,1.3,-3.5,-1.3,0.3,85.9,10.858,100,58.33,"rain,snow",0.3,19.3,,23.40,218.60,1001.4,50.9,13.4,86.2,7.4,5,,2018-03-08T06:47:22,2018-03-08T18:09:23,0.71,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,3/9/2018,5.1,0.6,2.1,2.8,-4.3,-1.1,-0.4,83.6,0,0,0,,0.1,19.2,,22.20,234.80,1006.9,49.2,15.9,79.4,6.8,4,,2018-03-09T06:45:08,2018-03-09T18:11:07,0.75,Partially cloudy,Partly cloudy throughout the day.,snow,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,3/10/2018,11.2,1.9,6.1,11.2,1.2,4.9,4.7,90.8,2.517,100,45.83,"rain,snow",0,17.3,,14.00,214.80,1004.2,87.1,9,52.7,4.6,4,,2018-03-10T06:42:53,2018-03-10T18:12:52,0.77,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,3/11/2018,13,5.4,8.2,13,5,7.9,6.2,87.9,0.048,100,8.33,rain,0,13.9,,11.70,196.80,998.8,88.5,9.4,68.7,5.9,4,,2018-03-11T06:40:38,2018-03-11T18:14:36,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"02174,D4240,04878,05490,00656,04445,02039"
brocken germany,3/12/2018,8.4,5.3,6.8,7,3.7,5.5,5.8,93.5,3.855,100,70.83,rain,0,11.2,,15.10,242.90,993.3,75.3,13.1,20.8,1.8,1,,2018-03-12T06:38:22,2018-03-12T18:16:20,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"02174,D4240,04878,05490,00656,04445,02039"
