Date;Open;High;Low;Close*;Adj Close**;Volume
Aug 23, 2021;65.54;67.80;65.41;67.54;67.54;335,888
Aug 22, 2021;61.96;66.00;61.74;65.64;65.64;397,29
Aug 19, 2021;64.05;64.10;62.11;62.32;62.32;365,009
Aug 18, 2021;64.58;64.76;62.63;63.69;63.69;88,237
Aug 17, 2021;66.58;67.48;64.34;65.46;65.46;121,197
Aug 16, 2021;67.43;67.72;66.33;66.59;66.59;235,303
Aug 15, 2021;68.13;68.14;65.73;67.29;67.29;334,844
Aug 12, 2021;68.91;69.22;67.77;68.44;68.44;272,033
Aug 11, 2021;69.36;69.62;68.46;69.09;69.09;352,465
Aug 10, 2021;68.51;69.45;66.67;69.25;69.25;513,292
Aug 09, 2021;66.85;68.90;66.56;68.29;68.29;452,126
Aug 08, 2021;67.88;67.90;65.15;66.48;66.48;598,381
Aug 05, 2021;69.14;70.18;67.80;68.28;68.28;537,136
Aug 04, 2021;68.06;69.35;67.61;69.09;69.09;416,331
Aug 03, 2021;70.32;70.81;67.85;68.15;68.15;582,924
Aug 02, 2021;71.52;71.96;69.19;70.56;70.56;509,938
Aug 01, 2021;73.91;73.95;70.55;71.26;71.26;448,2
Jul 29, 2021;73.41;74.23;72.93;73.95;73.95;303,7
Jul 28, 2021;72.40;73.68;72.26;73.62;73.62;294,462
Jul 27, 2021;71.90;72.60;71.70;72.39;72.39;318,911
Jul 26, 2021;72.22;72.33;71.08;71.65;71.65;333,123
Jul 25, 2021;72.18;72.43;70.56;71.91;71.91;395,743
Jul 22, 2021;71.71;72.21;71.39;72.07;72.07;274,778
Jul 21, 2021;70.22;72.03;69.86;71.91;71.91;435,181
Jul 20, 2021;66.45;70.51;66.44;70.30;70.30;503,03
Jul 19, 2021;66.60;67.65;65.21;67.42;67.42;561,629
Jul 18, 2021;71.49;71.67;65.63;66.42;66.42;82,565
Jul 15, 2021;71.48;72.30;70.41;71.81;71.81;133,926
Jul 14, 2021;72.96;72.96;71.40;71.65;71.65;368,679
Jul 13, 2021;75.17;75.44;72.21;73.13;73.13;528,36
Jul 12, 2021;74.18;75.52;73.68;75.25;75.25;444,078
Jul 11, 2021;74.74;74.93;73.16;74.10;74.10;397,931
Jul 08, 2021;73.26;74.76;72.72;74.56;74.56;422,154
Jul 07, 2021;72.17;73.26;70.76;72.94;72.94;529,69
Jul 06, 2021;73.85;74.86;71.07;72.20;72.20;607,971
Jul 05, 2021;75.35;76.98;72.94;73.37;73.37;714,044
Jul 01, 2021;75.02;75.62;74.41;75.16;75.16;377,531
Jun 30, 2021;73.50;76.22;73.39;75.23;75.23;615,678
Jun 29, 2021;73.47;74.14;72.82;73.47;73.47;383,626
Jun 28, 2021;72.78;73.81;71.97;72.98;72.98;321,448
Jun 27, 2021;73.99;74.45;72.62;72.91;72.91;354,701
Jun 24, 2021;73.32;74.18;72.85;74.05;74.05;364,721
Jun 23, 2021;73.28;73.61;72.32;73.30;73.30;334,833
Jun 22, 2021;72.91;74.25;72.82;73.08;73.08;429,207
Jun 21, 2021;73.41;73.95;72.94;73.06;73.06;498,555
Jun 20, 2021;71.52;73.96;71.15;73.66;73.66;123,662
Jun 17, 2021;71.10;72.17;70.16;71.64;71.64;139,584
Jun 16, 2021;71.65;72.30;69.77;71.04;71.04;373,78
Jun 15, 2021;72.45;72.99;71.61;72.15;72.15;426,775
Jun 14, 2021;71.16;72.49;70.81;72.12;72.12;336,035
Jun 13, 2021;70.65;71.78;70.65;70.88;70.88;319,639
Jun 10, 2021;70.10;71.24;69.68;70.91;70.91;563,575
Jun 09, 2021;69.76;70.65;68.68;70.29;70.29;492,464
Jun 08, 2021;70.01;70.62;69.46;69.96;69.96;410,82
Jun 07, 2021;69.29;70.27;68.47;70.05;70.05;441,302
Jun 06, 2021;69.52;70.00;68.93;69.23;69.23;365,621
Jun 03, 2021;68.91;69.76;68.33;69.62;69.62;326,25
Jun 02, 2021;68.76;69.40;68.19;68.81;68.81;351,367
Jun 01, 2021;67.99;69.00;67.78;68.83;68.83;332,995
May 31, 2021;66.68;68.87;66.41;67.72;67.72;570,985
May 27, 2021;66.95;67.52;66.17;66.32;66.32;390,461
May 26, 2021;66.16;66.92;65.47;66.85;66.85;337,542
May 25, 2021;66.04;66.43;65.25;66.21;66.21;376,207
May 24, 2021;66.02;66.51;65.41;66.07;66.07;497,394
May 23, 2021;63.87;66.14;63.63;66.05;66.05;466,647
May 20, 2021;61.89;64.07;61.56;63.58;63.58;530,831
May 19, 2021;63.39;63.96;61.89;62.05;62.05;524,168
May 18, 2021;65.28;65.35;61.95;63.36;63.36;101,902
May 17, 2021;66.33;67.01;64.11;65.49;65.49;167,348
May 16, 2021;65.50;66.43;64.83;66.27;66.27;268,476
May 13, 2021;63.83;65.62;63.33;65.37;65.37;383,749
May 12, 2021;65.75;65.81;63.09;63.82;63.82;547,691
May 11, 2021;65.46;66.63;64.97;66.08;66.08;508,519
May 10, 2021;64.90;65.50;63.68;65.28;65.28;514,949
May 09, 2021;65.57;65.75;63.95;64.92;64.92;448,337
May 06, 2021;64.90;65.24;63.90;64.90;64.90;431,417
May 05, 2021;65.27;65.98;64.50;64.71;64.71;389,214
May 04, 2021;66.45;66.76;64.92;65.63;65.63;460,066
May 03, 2021;64.53;66.19;64.29;65.69;65.69;370,208
May 02, 2021;63.64;64.68;62.91;64.49;64.49;285,969
Apr 29, 2021;64.88;64.95;63.08;63.58;63.58;400,515
Apr 28, 2021;63.70;65.47;63.65;65.01;65.01;384,489
Apr 27, 2021;63.04;64.53;62.67;63.86;63.86;387,683
Apr 26, 2021;61.97;63.30;61.91;62.94;62.94;361,536
Apr 25, 2021;62.06;62.31;60.66;61.91;61.91;366,865
Apr 22, 2021;61.65;62.43;61.25;62.14;62.14;345,407
Apr 21, 2021;61.11;61.87;60.61;61.43;61.43;344,7
Apr 20, 2021;62.39;62.56;60.86;61.35;61.35;431,486
Apr 19, 2021;63.47;64.25;61.50;62.44;62.44;476,046
Apr 18, 2021;62.98;63.63;62.63;63.38;63.38;74,384
Apr 15, 2021;63.32;63.88;62.83;63.13;63.13;87,795
Apr 14, 2021;62.83;63.57;62.53;63.46;63.46;243,37
Apr 13, 2021;60.44;63.44;60.38;63.15;63.15;419,813
Apr 12, 2021;59.64;60.59;59.64;60.18;60.18;349,733
Apr 11, 2021;59.35;60.77;58.73;59.70;59.70;410,218
Apr 08, 2021;59.76;59.95;59.10;59.32;59.32;351,436
Apr 07, 2021;59.52;59.93;58.82;59.60;59.60;419,913
Apr 06, 2021;59.26;60.04;58.12;59.77;59.77;475,537
