Date,Open,High,Low,Close_,Adj_Close__,Volume
"Aug 17, 2023",123.5,123.5,123.5,123.5,123.5,-
"Mar 03, 2023",135,135,135,135,135,-
"Feb 07, 2023",143.25,143.25,143.25,143.25,143.25,-
"Feb 24, 2023",159.25,159.25,159.25,159.25,159.25,-
"Jan 04, 2023",175.25,175.25,175.25,175.25,175.25,-
"Aug 22, 2022",286.5,286.5,286.5,286.5,286.5,-
"Mar 10, 2021",67.75,67.75,67.75,67.75,67.75,-
"Mar 20, 2019",71.75,71.75,71.75,71.75,71.75,-
"Oct 28, 2019",75.75,75.75,75.75,75.75,75.75,-
"Jul 24, 2019",75.75,75.75,75.75,75.75,75.75,-
"Jul 14, 2019",75.75,75.75,75.75,75.75,75.75,-
"Nov 14, 2023",123.75,123.75,123.75,123.75,123.75,-
"Aug 27, 2023",123.75,123.75,123.75,123.75,123.75,-
"Nov 27, 2020",64.05,64.05,64.05,64.05,64.05,-
"May 28, 2020",64.05,64.05,64.05,64.05,64.05,-
"Oct 24, 2019",76.05,76.05,76.05,76.05,76.05,-
"Mar 31, 2019",76.05,76.05,76.05,76.05,76.05,-
"Jun 28, 2023",116.05,116.05,116.05,116.05,116.05,-
"Sep 21, 2022",272.2,272.2,272.2,272.2,272.2,-
"Jan 25, 2023",144.35,144.35,144.35,144.35,144.35,-
"Feb 19, 2021",64.3,64.3,64.3,64.3,64.3,-
"Dec 01, 2020",64.3,64.3,64.3,64.3,64.3,-
"Apr 02, 2019",76.3,76.3,76.3,76.3,76.3,-
"Apr 04, 2019",80.3,80.3,80.3,80.3,80.3,-
"Jan 27, 2022",108.3,108.3,108.3,108.3,108.3,-
"Aug 07, 2022",208.6,208.6,208.6,208.6,208.6,-
"Feb 28, 2023",152.85,152.85,152.85,152.85,152.85,-
"May 25, 2020",64.55,64.55,64.55,64.55,64.55,-
"Mar 29, 2020",64.55,64.55,64.55,64.55,64.55,-
"Mar 02, 2020",68.55,68.55,68.55,68.55,68.55,-
"Aug 13, 2019",72.55,72.55,72.55,72.55,72.55,-
"Mar 05, 2019",76.55,76.55,76.55,76.55,76.55,-
"Oct 13, 2019",80.55,80.55,80.55,80.55,80.55,-
"May 31, 2023",88.55,88.55,88.55,88.55,88.55,-
"Feb 27, 2023",153.35,153.35,153.35,153.35,153.35,-
"Mar 22, 2020",64.8,64.8,64.8,64.8,64.8,-
"Jun 13, 2019",72.8,72.8,72.8,72.8,72.8,-
"Mar 10, 2019",72.8,72.8,72.8,72.8,72.8,-
"Jul 09, 2019",76.8,76.8,76.8,76.8,76.8,-
"Oct 19, 2021",96.8,96.8,96.8,96.8,96.8,-
"Oct 18, 2021",96.8,96.8,96.8,96.8,96.8,-
"Mar 29, 2023",137.85,137.85,137.15,137.15,137.15,-
"Mar 28, 2023",137.85,137.85,137.85,137.85,137.85,-
"Nov 29, 2019",77.05,77.05,77.05,77.05,77.05,-
"Nov 12, 2019",77.05,77.05,77.05,77.05,77.05,-
"Jul 21, 2019",77.05,77.05,77.05,77.05,77.05,-
"Feb 16, 2023",146.35,146.35,146.35,146.35,146.35,-
"May 17, 2020",65.3,65.3,65.3,65.3,65.3,-
"May 02, 2021",73.3,73.3,73.3,73.3,73.3,-
"Dec 23, 2019",73.3,73.3,73.3,73.3,73.3,-
"Jun 03, 2019",73.3,73.3,73.3,73.3,73.3,-
"Aug 23, 2021",85.3,85.3,85.3,85.3,85.3,-
"May 21, 2023",105.3,105.3,105.3,105.3,105.3,-
"Apr 19, 2023",130.6,130.6,130.6,130.6,130.6,-
"Mar 01, 2023",154.6,154.6,154.6,154.6,154.6,-
"Sep 04, 2019",73.55,73.55,73.55,73.55,73.55,-
"Jun 10, 2019",73.55,73.55,73.55,73.55,73.55,-
"Apr 28, 2019",73.55,73.55,73.55,73.55,73.55,-
"Nov 27, 2019",77.55,77.55,77.55,77.55,77.55,-
"Apr 10, 2022",195.35,195.35,195.35,195.35,195.35,-
"Oct 05, 2022",243.35,243.35,243.35,243.35,243.35,-
"Oct 20, 2020",65.8,65.8,65.8,65.8,65.8,-
"Oct 15, 2020",65.8,65.8,65.8,65.8,65.8,-
"Aug 09, 2020",69.8,69.8,69.8,69.8,69.8,-
"Jul 06, 2020",69.8,69.8,69.8,69.8,69.8,-
"Jun 28, 2020",69.8,69.8,69.8,69.8,69.8,-
"Feb 20, 2020",69.8,69.8,69.8,69.8,69.8,-
"May 16, 2019",73.8,73.8,73.8,73.8,73.8,-
"Sep 24, 2023",125.8,125.8,125.8,125.8,125.8,-
"Mar 26, 2023",131.6,131.6,131.6,131.6,131.6,-
"Oct 17, 2023",139.85,139.85,139.85,139.85,139.85,-
"Oct 25, 2022",227.85,227.85,227.85,227.85,227.85,-
"Mar 16, 2021",70.05,70.05,70.05,70.05,70.05,-
"Aug 26, 2019",70.05,70.05,70.05,70.05,70.05,-
"May 15, 2019",74.05,74.05,74.05,74.05,74.05,-
"Nov 20, 2019",78.05,78.05,78.05,78.05,78.05,-
"Dec 01, 2021",98.05,98.05,98.05,98.05,98.05,-
"Dec 20, 2022",196.1,196.1,196.1,196.1,196.1,-
"Feb 15, 2023",148.35,148.35,148.35,148.35,148.35,-
"Nov 04, 2020",61.15,61.15,61.15,61.15,61.15,-
"Nov 13, 2020",63.15,63.15,63.15,63.15,63.15,-
"Jun 17, 2020",66.3,66.3,66.3,66.3,66.3,-
"Jun 14, 2020",66.3,66.3,66.3,66.3,66.3,-
"Mar 16, 2020",66.3,66.3,66.3,66.3,66.3,-
"Mar 11, 2020",66.3,66.3,66.3,66.3,66.3,-
"Aug 04, 2019",74.3,74.3,74.3,74.3,74.3,-
"Jun 30, 2019",74.3,74.3,74.3,74.3,74.3,-
"Nov 15, 2019",78.3,78.3,78.3,78.3,78.3,-
"Jul 22, 2019",78.3,78.3,78.3,78.3,78.3,-
"Dec 15, 2021",106.3,106.3,106.3,106.3,106.3,-
"Aug 02, 2023",114.3,114.3,114.3,114.3,114.3,-
"Aug 11, 2022",244.6,244.6,244.6,244.6,244.6,-
"Jun 21, 2020",66.55,66.55,66.55,66.55,66.55,-
"Jun 11, 2020",66.55,66.55,66.55,66.55,66.55,-
"Feb 19, 2020",70.55,70.55,70.55,70.55,70.55,-
"Dec 18, 2019",74.55,74.55,74.55,74.55,74.55,-
"Sep 19, 2019",78.55,78.55,78.55,78.55,78.55,-
"Jun 12, 2023",110.55,110.55,110.55,110.55,110.55,-
"Dec 31, 2020",70.8,70.8,70.8,70.8,70.8,-
"Feb 12, 2020",70.8,70.8,70.8,70.8,70.8,-
"Jan 22, 2020",70.8,70.8,70.8,70.8,70.8,-
"Aug 18, 2019",70.8,70.8,70.8,70.8,70.8,-
"Aug 15, 2019",70.8,70.8,70.8,70.8,70.8,-
"May 17, 2021",74.8,74.8,74.8,74.8,74.8,-
"May 16, 2021",74.8,74.8,74.8,74.8,74.8,-
"Jan 09, 2020",74.8,74.8,74.8,74.8,74.8,-
"Dec 10, 2019",74.8,74.8,74.8,74.8,74.8,-
"May 08, 2019",74.8,74.8,74.8,74.8,74.8,-
"Dec 14, 2021",106.8,106.8,106.8,106.8,106.8,-
"Jan 28, 2022",110.8,110.8,110.8,110.8,110.8,-
"Mar 12, 2023",141.85,141.85,141.85,141.85,141.85,-
"Sep 09, 2020",67.05,67.05,67.05,67.05,67.05,-
"Apr 05, 2021",71.05,71.05,71.05,71.05,71.05,-
"Aug 04, 2020",71.05,71.05,71.05,71.05,71.05,-
"Aug 03, 2020",71.05,71.05,71.05,71.05,71.05,-
"Sep 26, 2019",75.05,75.05,75.05,75.05,75.05,-
"Jul 25, 2019",75.05,75.05,75.05,75.05,75.05,-
"Aug 29, 2021",87.05,87.05,87.05,87.05,87.05,-
"Apr 02, 2023",150.1,150.1,150.1,150.1,150.1,-
"Oct 30, 2022",206.35,206.35,206.35,206.35,206.35,-
"Dec 11, 2020",67.3,67.3,67.3,67.3,67.3,-
"Sep 22, 2020",67.3,67.3,67.3,67.3,67.3,-
"Sep 17, 2020",67.3,67.3,67.3,67.3,67.3,-
"Sep 16, 2020",67.3,67.3,67.3,67.3,67.3,-
"Sep 10, 2020",67.3,67.3,67.3,67.3,67.3,-
"Mar 09, 2020",67.3,67.3,67.3,67.3,67.3,-
"Sep 02, 2019",71.3,71.3,71.3,71.3,71.3,-
"Aug 29, 2019",71.3,71.3,71.3,71.3,71.3,-
"Mar 18, 2019",71.3,71.3,71.3,71.3,71.3,-
"Jul 07, 2021",75.3,75.3,75.3,75.3,75.3,-
"Jul 01, 2021",75.3,75.3,75.3,75.3,75.3,-
"Jun 15, 2021",75.3,75.3,75.3,75.3,75.3,-
"Jan 10, 2020",75.3,75.3,75.3,75.3,75.3,-
"Jun 27, 2019",75.3,75.3,75.3,75.3,75.3,-
"Jun 26, 2019",75.3,75.3,75.3,75.3,75.3,-
"Apr 24, 2019",75.3,75.3,75.3,75.3,75.3,-
"Feb 08, 2019",75.3,75.3,75.3,75.3,75.3,-
